year,Alexandria,,Global,,
1791,22.6,22.6,8.23,8.183333333,
1792,20.17,21.385,8.09,8.16,
1793,19.94,20.90333333,8.23,8.183333333,
1794,20.31,20.90333333,8.53,8.27,
1795,20.22,20.648,8.35,8.286,20.31807175
1796,20.39,20.605,8.27,8.283333333,8.400896861
1797,20.48,20.58714286,8.51,8.315714286,
1798,20.67,20.31142857,8.67,8.378571429,
1799,20.66,20.38142857,8.51,8.438571429,#NAME?
1800,20.52,20.46428571,8.48,8.474285714,22.6
1801,20.83,20.53857143,8.59,8.482857143,18.91
1802,20.94,20.64142857,8.58,8.515714286,3.69
1803,20.94,20.72,8.5,8.548571429,
1804,20.7,20.75142857,8.84,8.595714286,20.00616162
1805,20.35,20.70571429,8.56,8.58,20.68930693
1806,20.4,20.66857143,8.43,8.568571429,
1807,20.36,20.64571429,8.28,8.54,8.028383838
1808,19.69,20.48285714,7.63,8.402857143,8.811188119
1809,19.03,20.21,7.08,8.188571429,
1810,19.12,19.95,6.92,7.962857143,
1811,19.19,19.73428571,6.86,7.68,
1812,19.02,19.54428571,7.05,7.464285714,
1813,19.55,19.42285714,7.74,7.365714286,
1814,19.5,19.3,7.59,7.267142857,
1815,19.39,19.25714286,7.24,7.211428571,
1816,18.91,19.24,6.94,7.191428571,
1817,19.08,19.23428571,6.98,7.2,
1818,19.9,19.33571429,7.83,7.338571429,
1819,19.44,19.39571429,7.37,7.384285714,
1820,19.73,19.42142857,7.62,7.367142857,
1821,19.69,19.44857143,8.09,7.438571429,
1822,19.8,19.50714286,8.19,7.574285714,
1823,19.82,19.63714286,7.72,7.685714286,
1824,20.52,19.84285714,8.55,7.91,
1825,20.03,19.86142857,8.39,7.99,
1826,19.96,19.93571429,8.36,8.131428571,
1827,20.7,20.07428571,8.81,8.301428571,
1828,20.08,20.13,8.17,8.312857143,
1829,19.98,20.15571429,7.94,8.277142857,
1830,20.32,20.22714286,8.52,8.391428571,
1831,19.61,20.09714286,7.64,8.261428571,
1832,19.23,19.98285714,7.45,8.127142857,
1833,19.89,19.97285714,8.01,8.077142857,
1834,19.74,19.83571429,8.15,7.982857143,
1835,19.23,19.71428571,7.39,7.871428571,
1836,19.67,19.67,7.7,7.837142857,
1837,19.29,19.52285714,7.38,7.674285714,
1838,19.3,19.47857143,7.51,7.655714286,
1839,19.52,19.52,7.63,7.681428571,
1840,19.65,19.48571429,7.8,7.651428571,
1841,20.08,19.53428571,7.69,7.585714286,
1842,19.92,19.63285714,8.02,7.675714286,
1843,19.91,19.66714286,8.17,7.742857143,
1844,19.77,19.73571429,7.65,7.781428571,
1845,20.05,19.84285714,7.85,7.83,
1846,20.67,20.00714286,8.55,7.961428571,
1847,20.17,20.08142857,8.09,8.002857143,
1848,20,20.07,7.98,8.044285714,
1849,20,20.08142857,7.98,8.038571429,
1850,19.45,20.01571429,7.9,8,
1851,20.21,20.07857143,8.18,8.075714286,
1852,20.13,20.09,8.1,8.111428571,
1853,20.75,20.10142857,8.04,8.038571429,
1854,19.75,20.04142857,8.21,8.055714286,
1855,20.18,20.06714286,8.11,8.074285714,
1856,19.61,20.01142857,8,8.077142857,
1857,19.33,19.99428571,7.76,8.057142857,
1858,19.88,19.94714286,8.1,8.045714286,
1859,20.04,19.93428571,8.25,8.067142857,
1860,20.49,19.89714286,7.96,8.055714286,
1861,19.39,19.84571429,7.85,8.004285714,
1862,19.43,19.73857143,7.56,7.925714286,
1863,19.8,19.76571429,8.11,7.941428571,
1864,20.29,19.90285714,7.98,7.972857143,
1865,20.59,20.00428571,8.18,7.984285714,
1866,20.43,20.06,8.29,7.99,
1867,20.41,20.04857143,8.44,8.058571429,
1868,20.03,20.14,8.25,8.115714286,
1869,20.55,20.3,8.43,8.24,
1870,20.44,20.39142857,8.2,8.252857143,
1871,20.05,20.35714286,8.12,8.272857143,
1872,20.37,20.32571429,8.19,8.274285714,
1873,20.56,20.34428571,8.35,8.282857143,
1874,19.81,20.25857143,8.43,8.281428571,
1875,19.13,20.13,7.86,8.225714286,
1876,20.18,20.07714286,8.08,8.175714286,
1877,20.36,20.06571429,8.54,8.224285714,
1878,20.4,20.11571429,8.83,8.325714286,
1879,20.56,20.14285714,8.17,8.322857143,
1880,20.16,20.08571429,8.12,8.29,
1881,20.45,20.17714286,8.27,8.267142857,
1882,19.29,20.2,8.13,8.305714286,
1883,19.78,20.14285714,7.98,8.291428571,
1884,19.34,19.99714286,7.77,8.181428571,
1885,20.12,19.95714286,7.92,8.051428571,
1886,19.76,19.84285714,7.95,8.02,
1887,20.34,19.86857143,7.91,7.99,
1888,20.04,19.81,8.09,7.964285714,
1889,20.1,19.92571429,8.32,7.991428571,
1890,20.11,19.97285714,7.97,7.99,
1891,20.09,20.08,8.02,8.025714286,
1892,20.42,20.12285714,8.07,8.047142857,
1893,19.66,20.10857143,8.06,8.062857143,
1894,19.99,20.05857143,8.16,8.098571429,
1895,20.14,20.07285714,8.15,8.107142857,
1896,20.17,20.08285714,8.21,8.091428571,
1897,19.85,20.04571429,8.29,8.137142857,
1898,20.13,20.05142857,8.18,8.16,
1899,20.18,20.01714286,8.4,8.207142857,
1900,20.73,20.17,8.5,8.27,
1901,20.89,20.29857143,8.54,8.324285714,
1902,20.41,20.33714286,8.3,8.345714286,
1903,19.59,20.25428571,8.22,8.347142857,
1904,19.78,20.24428571,8.09,8.318571429,
1905,19.9,20.21142857,8.23,8.325714286,
1906,20.15,20.20714286,8.38,8.322857143,
1907,19.47,20.02714286,7.95,8.244285714,
1908,19.4,19.81428571,8.19,8.194285714,
1909,20.4,19.81285714,8.18,8.177142857,
1910,19.62,19.81714286,8.22,8.177142857,
1911,19.73,19.81,8.18,8.19,
1912,19.89,19.80857143,8.17,8.181428571,
1913,19.65,19.73714286,8.3,8.17,
1914,19.92,19.80142857,8.59,8.261428571,
1915,20.64,19.97857143,8.59,8.318571429,
1916,20.86,20.04428571,8.23,8.325714286,
1917,20.25,20.13428571,8.02,8.297142857,
1918,20.58,20.25571429,8.13,8.29,
1919,20.38,20.32571429,8.38,8.32,
1920,19.92,20.36428571,8.36,8.328571429,
1921,19.97,20.37142857,8.57,8.325714286,
1922,20.61,20.36714286,8.41,8.3,
1923,20.66,20.33857143,8.42,8.327142857,
1924,20.82,20.42,8.51,8.397142857,
1925,20.48,20.40571429,8.53,8.454285714,
1926,20.47,20.41857143,8.73,8.504285714,
1927,20.96,20.56714286,8.52,8.527142857,
1928,20.8,20.68571429,8.63,8.535714286,
1929,20.21,20.62857143,8.24,8.511428571,
1930,20.81,20.65,8.63,8.541428571,
1931,20.69,20.63142857,8.72,8.571428571,
1932,20.55,20.64142857,8.71,8.597142857,
1933,20.07,20.58428571,8.34,8.541428571,
1934,20.53,20.52285714,8.63,8.557142857,
1935,20.68,20.50571429,8.52,8.541428571,
1936,20.94,20.61,8.55,8.585714286,
1937,20.96,20.63142857,8.7,8.595714286,
1938,20.12,20.55,8.86,8.615714286,
1939,20.95,20.60714286,8.76,8.622857143,
1940,20.56,20.67714286,8.76,8.682857143,
1941,20.88,20.72714286,8.77,8.702857143,
1942,20.61,20.71714286,8.73,8.732857143,
1943,20.59,20.66714286,8.76,8.762857143,
1944,20.48,20.59857143,8.85,8.784285714,
1945,20.12,20.59857143,8.58,8.744285714,
1946,20.89,20.59,8.68,8.732857143,
1947,21.04,20.65857143,8.8,8.738571429,
1948,19.96,20.52714286,8.75,8.735714286,
1949,19.71,20.39857143,8.59,8.715714286,
1950,20.57,20.39571429,8.37,8.66,
1951,20.83,20.44571429,8.63,8.628571429,
1952,20.84,20.54857143,8.64,8.637142857,
1953,20.11,20.43714286,8.87,8.664285714,
1954,20.43,20.35,8.56,8.63,
1955,21.23,20.53142857,8.63,8.612857143,
1956,20.45,20.63714286,8.28,8.568571429,
1957,20.56,20.63571429,8.73,8.62,
1958,20.92,20.64857143,8.77,8.64,
1959,20.11,20.54428571,8.73,8.652857143,
1960,21.37,20.72428571,8.58,8.611428571,
1961,20.35,20.71285714,8.8,8.645714286,
1962,21.13,20.69857143,8.75,8.662857143,
1963,21.1,20.79142857,8.86,8.745714286,
1964,20.22,20.74285714,8.41,8.7,
1965,20.52,20.68571429,8.53,8.665714286,
1966,21.08,20.82428571,8.6,8.647142857,
1967,20.11,20.64428571,8.7,8.664285714,
1968,20.63,20.68428571,8.52,8.624285714,
1969,20.75,20.63,8.6,8.602857143,
1970,20.64,20.56428571,8.7,8.58,
1971,20.51,20.60571429,8.6,8.607142857,
1972,20.7,20.63142857,8.5,8.602857143,
1973,20.54,20.55428571,8.95,8.652857143,
1974,20.55,20.61714286,8.47,8.62,
1975,20.45,20.59142857,8.74,8.651428571,
1976,20.22,20.51571429,8.35,8.615714286,
1977,20.64,20.51571429,8.85,8.637142857,
1978,20.61,20.53,8.69,8.65,
1979,21.07,20.58285714,8.73,8.682857143,
1980,20.44,20.56857143,8.98,8.687142857,
1981,20.6,20.57571429,9.17,8.787142857,
1982,20.16,20.53428571,8.64,8.772857143,
1983,19.87,20.48428571,9.03,8.87,
1984,20.51,20.46571429,8.69,8.847142857,
1985,20.84,20.49857143,8.66,8.842857143,
1986,20.59,20.43,8.83,8.857142857,
1987,20.21,20.39714286,8.99,8.858571429,
1988,20.63,20.40142857,9.2,8.862857143,
1989,20.46,20.44428571,8.92,8.902857143,
1990,20.73,20.56714286,9.23,8.931428571,
1991,20.64,20.58571429,9.18,9.001428571,
1992,20.09,20.47857143,8.84,9.027142857,
1993,20.74,20.5,8.87,9.032857143,
1994,21.1,20.62714286,9.04,9.04,
1995,20.62,20.62571429,9.35,9.061428571,
1996,20.85,20.68142857,9.04,9.078571429,
1997,20.52,20.65142857,9.2,9.074285714,
1998,21.29,20.74428571,9.52,9.122857143,
1999,21.46,20.94,9.29,9.187142857,
2000,20.74,20.94,9.2,9.234285714,
2001,21.45,20.99,9.41,9.287142857,
2002,21.46,21.11,9.57,9.318571429,
2003,21.22,21.16285714,9.53,9.388571429,
2004,21.06,21.24,9.32,9.405714286,
2005,21.08,21.21,9.7,9.431428571,
2006,21.15,21.16571429,9.53,9.465714286,
2007,21.51,21.27571429,9.73,9.541428571,
2008,21.74,21.31714286,9.43,9.544285714,
2009,21.67,21.34714286,9.51,9.535714286,
2010,22.46,21.52428571,9.7,9.56,
2011,21.18,21.54142857,9.52,9.588571429,
2012,21.55,21.60857143,9.51,9.561428571,
2013,21.44,21.65,9.61,9.572857143,
